iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6600652611	0.8158940397	0.7873134328	0.7201365188	0.752228164
1	0.6264303548	0.8264900662	0.8091603053	0.7235494881	0.763963964
2	0.6112472406	0.8225165563	0.797752809	0.7269624573	0.7607142857
3	0.589943211	0.821192053	0.7947761194	0.7269624573	0.7593582888
4	0.57228964	0.817218543	0.7859778598	0.7269624573	0.7553191489
5	0.5613262741	0.8145695364	0.7908745247	0.7098976109	0.7482014388
6	0.5464998947	0.8119205298	0.7892720307	0.7030716724	0.7436823105
7	0.5302490662	0.8158940397	0.7916666667	0.7133105802	0.750448833
8	0.5232085999	0.8158940397	0.7894736842	0.7167235495	0.7513416816
9	0.512731502	0.8158940397	0.7894736842	0.7167235495	0.7513416816
10	0.5058696613	0.8105960265	0.7819548872	0.7098976109	0.7441860465
11	0.5006129206	0.8092715232	0.7790262172	0.7098976109	0.7428571429
12	0.4878372362	0.817218543	0.7924528302	0.7167235495	0.752688172
13	0.4814782481	0.8119205298	0.7849056604	0.7098976109	0.7455197133
14	0.4781036479	0.8119205298	0.7849056604	0.7098976109	0.7455197133
15	0.4753781574	0.8145695364	0.7908745247	0.7098976109	0.7482014388
16	0.4667968681	0.8185430464	0.7932330827	0.7201365188	0.7549194991
17	0.4612807066	0.817218543	0.7924528302	0.7167235495	0.752688172
18	0.4583983461	0.8185430464	0.7954545455	0.7167235495	0.7540394973
19	0.4510562637	0.8198675497	0.7962264151	0.7201365188	0.7562724014
20	0.4458963777	0.8238410596	0.803030303	0.7235494881	0.7612208259
21	0.4425748154	0.8238410596	0.803030303	0.7235494881	0.7612208259
22	0.4388871095	0.8225165563	0.8022813688	0.7201365188	0.7589928058
23	0.431918536	0.8238410596	0.8053435115	0.7201365188	0.7603603604
24	0.4294565343	0.8238410596	0.803030303	0.7235494881	0.7612208259
25	0.4276508628	0.8278145695	0.8122605364	0.7235494881	0.7653429603
26	0.4260466401	0.8264900662	0.8091603053	0.7235494881	0.763963964
27	0.4240401098	0.8251655629	0.8060836502	0.7235494881	0.7625899281
28	0.4206260489	0.8264900662	0.8091603053	0.7235494881	0.763963964
29	0.4191112683	0.8264900662	0.8091603053	0.7235494881	0.763963964
30	0.4149720466	0.8291390728	0.8106060606	0.7303754266	0.7684021544
31	0.4130610722	0.8291390728	0.8106060606	0.7303754266	0.7684021544
32	0.4118279044	0.8291390728	0.8106060606	0.7303754266	0.7684021544
33	0.4090096859	0.8278145695	0.8075471698	0.7303754266	0.7670250896
34	0.4085646737	0.8278145695	0.8075471698	0.7303754266	0.7670250896
35	0.4076973323	0.8264900662	0.8045112782	0.7303754266	0.7656529517
36	0.4066098514	0.8278145695	0.8075471698	0.7303754266	0.7670250896
37	0.40524671	0.8278145695	0.8075471698	0.7303754266	0.7670250896
38	0.4049062975	0.8278145695	0.8075471698	0.7303754266	0.7670250896
39	0.4046918597	0.8278145695	0.8075471698	0.7303754266	0.7670250896
40	0.4041231032	0.8278145695	0.8075471698	0.7303754266	0.7670250896
41	0.4038909347	0.8278145695	0.8075471698	0.7303754266	0.7670250896
42	0.4025327447	0.8278145695	0.8075471698	0.7303754266	0.7670250896
43	0.4021469943	0.8278145695	0.8075471698	0.7303754266	0.7670250896
44	0.4021210212	0.8278145695	0.8075471698	0.7303754266	0.7670250896
45	0.4012053815	0.8291390728	0.8106060606	0.7303754266	0.7684021544
46	0.3998255001	0.8291390728	0.8106060606	0.7303754266	0.7684021544
47	0.3986640434	0.8291390728	0.8106060606	0.7303754266	0.7684021544
48	0.3981514808	0.8304635762	0.8136882129	0.7303754266	0.7697841727
49	0.3974296125	0.8317880795	0.8167938931	0.7303754266	0.7711711712
