iter	Passed	Remaining
0	34	1696
1	71	1705
2	89	1408
3	109	1261
4	130	1177
5	150	1100
6	169	1043
7	199	1049
8	217	992
9	238	954
10	256	910
11	274	870
12	299	852
13	317	817
14	335	781
15	354	752
16	373	725
17	391	695
18	412	672
19	432	648
20	451	623
21	471	599
22	498	585
23	527	570
24	546	546
25	566	523
26	588	501
27	607	477
28	626	454
29	647	431
30	660	404
31	694	390
32	704	362
33	713	335
34	722	309
35	729	283
36	738	259
37	746	235
38	756	213
39	763	190
40	774	169
41	785	149
42	802	130
43	811	110
44	822	91
45	842	73
46	852	54
47	862	35
48	872	17
49	883	0
